model_id	outcome	term	estimate_logit	std_error	p_value	ci_low	ci_high	n_obs	n_ids	estimate_link
util_mech_doctor_visit	doctor_visit_any_wave	Intercept	-2.1641397778591087	0.3192553701261275	1.2125308886319761e-11	-2.7898688051773233	-1.5384107505408942	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	C(interval)[T.2013-2015]	-0.18102558374184333	0.05594954736477531	0.001214236270328055	-0.2906846815281208	-0.07136648595556583	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	C(interval)[T.2015-2018]	-0.5233826672573209	0.05920299727148113	9.531179434223834e-19	-0.639418409686247	-0.40734692482839474	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	oop_shock_p95_lag	-0.15131345594439224	0.11194623903211044	0.17648352774304066	-0.3707240526520408	0.06809714076325626	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	log_oop_raw_lag	0.03826041865149734	0.010394107503220387	0.0002323465247522508	0.017888342293747837	0.058632495009246846	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	doctor_visit_any_lag	0.5146811527702752	0.08262768117129154	4.69663811151498e-10	0.3527338735484854	0.6766284319920649	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	adl5_lag	0.06644902625044656	0.023313309728788957	0.004368331504732881	0.02075577882159295	0.11214227367930017	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	core_disease_count_lag	0.19614987477066453	0.019207601740588134	1.7504193201589423e-24	0.15850366712972294	0.23379608241160613	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	baseline_age	-0.0007909181452866907	0.00428116902796492	0.8534302262520356	-0.009181855251826285	0.007600018961252904	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	sex	0.17415754152561946	0.05146489914825057	0.0007143637117976734	0.07328819272706223	0.2750268903241767	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	education_c	0.03860238033084165	0.015121092251001809	0.010683535748681288	0.00896558411197041	0.0682391765497129	11859	4210	
util_mech_doctor_visit	doctor_visit_any_wave	residence_rural_w1	0.2004919969669462	0.053655699838809266	0.00018649614723558863	0.09532875771758845	0.30565523621630397	11859	4210	
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	Intercept		0.36355262901746227	5.618865269142665e-07	-2.5317226529918573	-1.1066225342737026	11706	4201	-1.81917259363278
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	C(interval)[T.2013-2015]		0.061930935185821774	0.0019325085101332409	-0.31339389091357994	-0.07062908592738977	11706	4201	-0.19201148842048485
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	C(interval)[T.2015-2018]		0.07473682442936926	1.424807795646292e-11	-0.6513556575328247	-0.3583926891319106	11706	4201	-0.5048741733323676
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	oop_shock_p95_lag		0.1266955103222733	0.007328089192340516	-0.5880596021374539	-0.09142232766829725	11706	4201	-0.3397409649028756
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	log_oop_raw_lag		0.00848335616900336	1.1694874198434704e-12	0.043680485534316915	0.07693463065286146	11706	4201	0.06030755809358919
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	doctor_visit_count_lag		0.009655754552542833	9.220280203962218e-13	0.050033295050036036	0.08788315738312127	11706	4201	0.06895822621657866
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	adl5_lag		0.02517305396124721	0.006150879607164318	0.01962651932050949	0.11830307761036524	11706	4201	0.06896479846543736
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	core_disease_count_lag		0.021398634833269956	1.550897805051928e-15	0.12866698191235793	0.21254808909542466	11706	4201	0.1706075355038913
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	baseline_age		0.004903657888440853	0.910417880224536	-0.009059275124156158	0.010162710583543446	11706	4201	0.0005517177296936442
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	sex		0.0653520537393691	9.836010017261902e-05	0.1264325669356871	0.3826079102254663	11706	4201	0.2545202385805767
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	education_c		0.017483966750618002	0.033832819791669556	0.002834056369238662	0.07136994664545282	11706	4201	0.037102001507345744
util_mech_doctor_visit_count_pois_gee	doctor_visit_count_wave	residence_rural_w1		0.06714454865548732	0.00015117814398796296	0.12281826696628376	0.3860200612121887	11706	4201	0.2544191640892362
util_mech_hospital_stay	hospital_stay_any_wave	Intercept	-3.488578864326163	0.3340577760947436	1.576780590632196e-25	-4.143320074227406	-2.8338376544249204	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	C(interval)[T.2013-2015]	0.05199903058973071	0.061515163365271006	0.39794097463322153	-0.06856847410929821	0.17256653528875965	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	C(interval)[T.2015-2018]	0.3082337720745271	0.0585204848020696	1.3858892775526476e-07	0.1935357295046471	0.42293181464440716	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	oop_shock_p95_lag	-0.12838128947795116	0.11019252580594693	0.2439932912043855	-0.3443546714231076	0.08759209246720531	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	log_oop_raw_lag	0.05621229752172469	0.009020760973461632	4.6217787810342464e-10	0.03853193090059542	0.07389266414285398	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	hospital_stay_any_lag	0.6325860877096228	0.08181757314857982	1.061487629301819e-14	0.4722265910359349	0.7929455843833106	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	adl5_lag	0.035792802014555716	0.024666505283204715	0.14676063793779162	-0.01255265996499249	0.08413826399410393	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	core_disease_count_lag	0.24730404490605717	0.01988002619356386	1.5885175663252798e-35	0.2083399095549591	0.2862681802571552	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	baseline_age	0.023072370236966917	0.004411459193018628	1.694188882505978e-07	0.014426069099382275	0.03171867137455156	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	sex	-0.12431402981610287	0.05418469888957747	0.021775311759348583	-0.23051408815282218	-0.018113971479383567	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	education_c	-0.009007881846709836	0.01482160355321149	0.5433509555671852	-0.03805769100413525	0.02004192731071558	11861	4208	
util_mech_hospital_stay	hospital_stay_any_wave	residence_rural_w1	-0.1153232093922216	0.055054168152449526	0.036195660400477156	-0.22322739616983472	-0.0074190226146084864	11861	4208	
