variable	n_nonmissing	nonmissing_pct	mean_if_numeric
doctor_visit_any_wave	20760	0.941582	0.201156
doctor_visit_count_wave	20594	0.934053	0.458872
hospital_stay_any_wave	20772	0.942126	0.173792
iadl5_wave	15692	0.71172	0.663905
cesd10	19866	0.901034	8.560656
fall_any_raw	15889	0.720655	0.20102
fall_count_raw	15876	0.720065	0.151738
pain_any_raw	15876	0.720065	0.400605
walk_1km_diff_raw	10409	0.472106	0.388126
walk_100m_diff_raw	3659	0.165956	0.39355
mobility_limit_any_raw	10431	0.473104	0.387691
traditional_outpatient_raw	656	0.029753	0.222561
traditional_inpatient_raw	153	0.006939	1.0
traditional_selfmed_raw	1168	0.052975	1.0
outpatient_forgone_any_raw	1030	0.046716	1.0
outpatient_forgone_cost_raw	1030	0.046716	0.166019
inpatient_need_but_no_raw	11259	0.510659	0.057465
inpatient_forgone_cost_raw	11254	0.510432	0.031189
