profile_level	wave	n_rows	n_ids	adl5_mean	dataset_id	profile_col
chronic_high	1	654	654	0.5259938837920489	balanced_ft	ft_profile
chronic_high	2	654	654	0.5764525993883792	balanced_ft	ft_profile
chronic_high	3	654	654	0.8180428134556575	balanced_ft	ft_profile
chronic_high	4	654	654	1.0214067278287462	balanced_ft	ft_profile
mixed	1	752	752	0.4441489361702128	balanced_ft	ft_profile
mixed	2	752	752	0.40425531914893614	balanced_ft	ft_profile
mixed	3	752	752	0.5704787234042553	balanced_ft	ft_profile
mixed	4	752	752	0.7646276595744681	balanced_ft	ft_profile
shock_spike	1	386	386	0.48186528497409326	balanced_ft	ft_profile
shock_spike	2	386	386	0.49740932642487046	balanced_ft	ft_profile
shock_spike	3	386	386	0.6606217616580311	balanced_ft	ft_profile
shock_spike	4	386	386	0.8264248704663213	balanced_ft	ft_profile
stable_low	1	2420	2420	0.29669421487603304	balanced_ft	ft_profile
stable_low	2	2420	2420	0.3020661157024793	balanced_ft	ft_profile
stable_low	3	2420	2420	0.40702479338842973	balanced_ft	ft_profile
stable_low	4	2420	2420	0.5119834710743801	balanced_ft	ft_profile
chronic_high	1	730	730	0.5287671232876713	main_cohort	ft_profile
chronic_high	2	755	755	0.5761589403973509	main_cohort	ft_profile
chronic_high	3	766	766	0.8289817232375979	main_cohort	ft_profile
chronic_high	4	717	717	0.9874476987447699	main_cohort	ft_profile
mixed	1	883	883	0.42808607021517553	main_cohort	ft_profile
mixed	2	920	920	0.4076086956521739	main_cohort	ft_profile
mixed	3	933	933	0.5991425509110396	main_cohort	ft_profile
mixed	4	863	863	0.7508690614136733	main_cohort	ft_profile
shock_spike	1	468	468	0.48717948717948717	main_cohort	ft_profile
shock_spike	2	502	502	0.5139442231075697	main_cohort	ft_profile
shock_spike	3	501	501	0.6506986027944112	main_cohort	ft_profile
shock_spike	4	455	455	0.7736263736263737	main_cohort	ft_profile
stable_low	1	2975	2975	0.31092436974789917	main_cohort	ft_profile
stable_low	2	3160	3160	0.3110759493670886	main_cohort	ft_profile
stable_low	3	3196	3196	0.4355444305381727	main_cohort	ft_profile
stable_low	4	2924	2924	0.4887140902872777	main_cohort	ft_profile
chronic_high	1	348	348	0.5775862068965517	main_cohort	ft_profile_alt_p90_only
chronic_high	2	359	359	0.6239554317548747	main_cohort	ft_profile_alt_p90_only
chronic_high	3	367	367	0.9182561307901907	main_cohort	ft_profile_alt_p90_only
chronic_high	4	335	335	1.1402985074626866	main_cohort	ft_profile_alt_p90_only
non_chronic	1	4708	4708	0.3644859813084112	main_cohort	ft_profile_alt_p90_only
non_chronic	2	4978	4978	0.3670148654077943	main_cohort	ft_profile_alt_p90_only
non_chronic	3	5029	5029	0.5120302246967589	main_cohort	ft_profile_alt_p90_only
non_chronic	4	4624	4624	0.5958044982698962	main_cohort	ft_profile_alt_p90_only
no_shock	1	4247	4247	0.3510713444784554	main_cohort	ft_profile_alt_p95_any
no_shock	2	4484	4484	0.34812667261373775	main_cohort	ft_profile_alt_p95_any
no_shock	3	4535	4535	0.4921719955898567	main_cohort	ft_profile_alt_p95_any
no_shock	4	4173	4173	0.5782410735681763	main_cohort	ft_profile_alt_p95_any
shock_any	1	809	809	0.5265760197775031	main_cohort	ft_profile_alt_p95_any
shock_any	2	853	853	0.5744431418522861	main_cohort	ft_profile_alt_p95_any
shock_any	3	861	861	0.7897793263646922	main_cohort	ft_profile_alt_p95_any
shock_any	4	786	786	0.9211195928753181	main_cohort	ft_profile_alt_p95_any
