interval	wealth_group	n_rows	n_ids	shock_prev	oop_missing_pct	outpatient_forgone_cost_nonmissing_pct	inpatient_need_but_no_nonmissing_pct	inpatient_forgone_cost_nonmissing_pct	inpatient_forgone_cost_cond_nonmissing_pct	outpatient_forgone_cost_mean	inpatient_need_but_no_mean	inpatient_forgone_cost_mean	inpatient_forgone_cost_cond_mean
2011-2013	high	1473	1473	0.048200950441276307	0.025118805159538356	0.0658520027155465	0.5302104548540394	0.5302104548540394	0.034623217922606926	0.08247422680412371	0.06530089628681178	0.028169014084507043	0.43137254901960786
2011-2013	low	1474	1474	0.042740841248303935	0.022388059701492536	0.05563093622795115	0.5278154681139756	0.5278154681139756	0.035278154681139755	0.1951219512195122	0.06683804627249357	0.038560411311053984	0.5769230769230769
2011-2013	missing_or_nonpositive	1265	1265	0.05691699604743083	0.034782608695652174	0.04980237154150197	0.5233201581027668	0.5225296442687747	0.03636363636363636	0.15873015873015872	0.07099697885196375	0.04236006051437216	0.6086956521739131
2013-2015	high	1473	1473	0.054989816700611	0.029192124915139173	0.05227427019687712	0.7277664630006789	0.7277664630006789	0.035302104548540394	0.1038961038961039	0.048507462686567165	0.022388059701492536	0.46153846153846156
2013-2015	low	1474	1474	0.04816824966078698	0.037991858887381276	0.06648575305291723	0.6960651289009498	0.6960651289009498	0.04002713704206241	0.23469387755102042	0.057504873294346975	0.030214424951267055	0.5254237288135594
2013-2015	missing_or_nonpositive	1265	1265	0.04110671936758893	0.03715415019762846	0.05612648221343874	0.6980237154150197	0.6980237154150197	0.04426877470355731	0.14084507042253522	0.06342015855039637	0.035107587768969425	0.5535714285714286
2015-2018	high	1473	1473	0.05431093007467753	0.038696537678207736	0.0	0.0	0.0	0.0				
2015-2018	low	1474	1474	0.03867028493894165	0.03934871099050204	0.0	0.0	0.0	0.0				
2015-2018	missing_or_nonpositive	1265	1265	0.05138339920948617	0.045059288537549404	0.0	0.0	0.0	0.0				
