ft_profile	wave	n_rows	n_ids	adl5_mean
chronic_high	1	654	654	0.5259938837920489
chronic_high	2	641	641	0.5803432137285491
chronic_high	3	599	599	0.8046744574290484
chronic_high	4	654	654	1.0214067278287462
mixed	1	751	751	0.4447403462050599
mixed	2	737	737	0.4043419267299864
mixed	3	699	699	0.5722460658082976
mixed	4	752	752	0.7646276595744681
shock_spike	1	386	386	0.48186528497409326
shock_spike	2	380	380	0.4868421052631579
shock_spike	3	361	361	0.6398891966759003
shock_spike	4	386	386	0.8264248704663213
stable_low	1	2420	2420	0.29669421487603304
stable_low	2	2362	2362	0.30313293818797626
stable_low	3	2296	2296	0.3945993031358885
stable_low	4	2420	2420	0.5119834710743801
