ft_profile	wave	year	n_rows	n_ids	oop_raw_missing_pct	oop_raw_zero_pct	oop_raw_mean	oop_raw_median	oop_raw_p90	oop_raw_p95	profile_n_ids	profile_pct_ids
chronic_high	1	2011	654	654	0.016819571865443424	0.27217125382262997	5323.571073095312	1200.0	10528.000000000011	21389.999999999953	654	0.15527065527065528
chronic_high	2	2013	654	654	0.0290519877675841	0.18960244648318042	8847.420568155478	2089.268755935422	20695.156695156704	34472.93447293443	654	0.15527065527065528
chronic_high	3	2015	654	654	0.035168195718654434	0.1819571865443425	10974.192095418397	2209.944751381215	22099.44751381216	36372.0073664825	654	0.15527065527065528
chronic_high	4	2018	654	654	0.021406727828746176	0.191131498470948	9089.866977267793	2583.9793281653747	21490.094745908707	47732.55813953475	654	0.15527065527065528
mixed	1	2011	752	752	0.027925531914893616	0.5957446808510638	812.6199179256664	0.0	3500.0	4318.679992675781	752	0.1785375118708452
mixed	2	2013	752	752	0.03590425531914894	0.5279255319148937	1364.7682481655754	0.0	5698.005698005698	6837.606837606838	752	0.1785375118708452
mixed	3	2015	752	752	0.03723404255319149	0.511968085106383	1599.436016371341	0.0	5618.784530386742	8012.891344383059	752	0.1785375118708452
mixed	4	2018	752	752	0.03856382978723404	0.5039893617021277	1854.2198682787332	0.0	6890.611541774332	9073.385012919896	752	0.1785375118708452
shock_spike	1	2011	386	386	0.025906735751295335	0.6528497409326425	6855.712765957447	0.0	18000.0	33750.0	386	0.09164292497625831
shock_spike	2	2013	386	386	0.05699481865284974	0.6088082901554405	13083.994855494882	0.0	22222.2222222222	36609.68660968651	386	0.09164292497625831
shock_spike	3	2015	386	386	0.05181347150259067	0.6243523316062176	9241.97184232507	0.0	24769.797421731124	41643.64640883978	386	0.09164292497625831
shock_spike	4	2018	386	386	0.02849740932642487	0.572538860103627	14165.500547301179	0.0	34453.05770887166	62273.90180878554	386	0.09164292497625831
stable_low	1	2011	2420	2420	0.02975206611570248	0.8913223140495867	77.60919932246817	0.0	0.0	567.6000000000022	2420	0.5745489078822412
stable_low	2	2013	2420	2420	0.032231404958677684	0.8690082644628099	152.68042265628847	0.0	73.50427350427402	1139.6011396011395	2420	0.5745489078822412
stable_low	3	2015	2420	2420	0.04173553719008265	0.8607438016528925	184.27829356741023	0.0	95.76427255985769	1529.4659300184069	2420	0.5745489078822412
stable_low	4	2018	2420	2420	0.0384297520661157	0.8504132231404958	252.83015507061236	0.0	516.7958656330749	2067.1834625322995	2420	0.5745489078822412
