ft_profile	wave	year	n_rows	n_ids	oop_raw_missing_pct	oop_raw_zero_pct	oop_raw_mean	oop_raw_median	profile_n_ids	profile_pct_ids
chronic_high	1	2011	772	772	0.06735751295336788	0.23963730569948186	5269.93083333373	1200.0	772	0.14005805515239478
chronic_high	2	2013	772	772	0.04792746113989637	0.16709844559585493	9041.26338094592	2279.2022792022794	772	0.14005805515239478
chronic_high	3	2015	772	772	0.03626943005181347	0.16580310880829016	11978.970772266508	2729.281767955801	772	0.14005805515239478
chronic_high	4	2018	772	772	0.09067357512953368	0.17098445595854922	9216.68465242541	2678.7252368647714	772	0.14005805515239478
mixed	1	2011	951	951	0.0946372239747634	0.5436382754994742	858.5239953584926	0.0	951	0.17253265602322207
mixed	2	2013	951	951	0.07045215562565721	0.48264984227129337	1486.212308568714	0.0	951	0.17253265602322207
mixed	3	2015	951	951	0.05573080967402734	0.47423764458464773	1851.2977067659124	0.0	951	0.17253265602322207
mixed	4	2018	951	951	0.12513144058885384	0.4363827549947424	2022.4863348207505	7.321274763135227	951	0.17253265602322207
shock_spike	1	2011	516	516	0.1065891472868217	0.5949612403100775	6753.223427331887	0.0	516	0.09361393323657474
shock_spike	2	2013	516	516	0.08333333333333333	0.560077519379845	14090.900168756427	0.0	516	0.09361393323657474
shock_spike	3	2015	516	516	0.07364341085271318	0.5833333333333334	13302.30318161153	0.0	516	0.09361393323657474
shock_spike	4	2018	516	516	0.1375968992248062	0.48643410852713176	14596.078159628467	0.0	516	0.09361393323657474
stable_low	1	2011	3273	3273	0.11060189428658723	0.8142377024136878	83.7967708722622	0.0	3273	0.5937953555878084
stable_low	2	2013	3273	3273	0.0675221509318668	0.8331805682859762	168.1715413423765	0.0	3273	0.5937953555878084
stable_low	3	2015	3273	3273	0.06507791017415215	0.8328750381912619	215.80956679249485	0.0	3273	0.5937953555878084
stable_low	4	2018	3273	3273	0.14023831347387716	0.7555759242285365	281.29672473172457	0.0	3273	0.5937953555878084
